2025-03-19T21:14:38.323027Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.outstanding_mem_tag"
2025-03-19T21:14:38.323031Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.Dmem_command_filtered"
2025-03-19T21:14:38.323036Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.if_valid"
2025-03-19T21:14:38.323040Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.start_valid_on_reset"
2025-03-19T21:14:38.323044Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.wb_valid"
2025-03-19T21:14:38.323048Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.PC_reg"
2025-03-19T21:14:38.323053Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.PC_n"
2025-03-19T21:14:38.323057Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.dispatch_packets_vld"
2025-03-19T21:14:38.323634Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.clock"
2025-03-19T21:14:38.323640Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.reset"
2025-03-19T21:14:38.323644Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.new_entries_vld"
2025-03-19T21:14:38.323649Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.cmpl_entries[0]"
2025-03-19T21:14:38.323653Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.cmpl_entries[1]"
2025-03-19T21:14:38.323660Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.cmpl_entries[2]"
2025-03-19T21:14:38.323664Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.cmpl_entries_vld"
2025-03-19T21:14:38.323678Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.bmask_squash"
2025-03-19T21:14:38.323682Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.bmask_hit"
2025-03-19T21:14:38.323687Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.retired_entries[0]"
2025-03-19T21:14:38.323691Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.retired_entries[1]"
2025-03-19T21:14:38.323696Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.retired_entries[2]"
2025-03-19T21:14:38.323700Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.ready"
2025-03-19T21:14:38.323704Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.head"
2025-03-19T21:14:38.323708Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.tail"
2025-03-19T21:14:38.323713Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.dbg_this_is_rob"
2025-03-19T21:14:38.323717Z DEBUG src/var_index.rs:41: &name value="testbench.o3o.rob_module.next_retired_entries[0]"
